"Year","Species","Elevation","day246","day247","day248","day249","day250","day251","day252","day253","day254","day255","day256","day257","day258","day259","day260","day261","day262","day263","day264","day265","day266","day267","day268","day269","day270","day271","day272","day273","day274","day275","day276","day277","day278","day279","day280","day281","day282","day283","day284","day285","day286","day287","day288","day289","day290","day291","day292","day293","day294","day295","day296","day297","day298","day299","day300","day301","day302","day303","day304","day305","day306","day307","day308","day309","day310"
"2012","SM","1400","0.00","0.00","0.00","0.00","0.00","0.10","0.10","0.20","0.30","0.40","0.40","0.50","0.90","1.40","1.80","2.30","2.70","3.10","3.60","4.00","6.00","7.90","9.90","11.90","13.90","15.80","17.80","18.90","20.00","21.10","22.20","23.30","23.90","24.50","25.20","25.80","26.40","27.00","29.30","31.70","34.00","34.80","35.50","36.30","31.30","26.40","21.40","16.40","11.50","6.50","1.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2013","SM","1400","0.30","0.30","0.40","0.40","0.40","0.50","0.50","0.50","0.50","1.00","1.40","1.90","2.30","2.80","3.20","3.70","4.10","4.60","5.00","5.50","5.90","6.30","9.50","12.70","15.90","19.10","22.30","25.40","28.60","31.80","35.00","31.00","27.00","23.00","19.00","24.80","30.50","36.30","42.00","47.00","52.00","57.00","62.00","50.10","38.20","26.30","19.30","12.30","5.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1991","SM","2200","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1992","SM","2200","1.40","2.90","4.30","5.70","7.20","8.60","10.00","11.70","13.40","15.10","16.80","18.50","20.10","21.80","23.50","25.20","26.90","28.60","30.30","32.00","33.50","35.00","36.50","38.00","39.50","40.90","42.40","43.90","45.40","46.90","48.40","49.90","51.40","52.80","46.50","40.20","34.00","27.70","21.40","15.10","8.80","2.60","2.20","1.90","1.50","1.10","0.80","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1993","SM","2200","2.00","2.30","2.60","2.90","3.20","3.50","3.70","4.00","4.30","4.60","4.90","5.20","5.50","5.80","6.00","7.20","8.50","9.70","11.00","12.20","13.40","14.70","15.90","17.20","18.40","20.80","23.30","25.70","28.10","30.60","33.00","35.40","32.20","29.00","25.90","22.70","19.50","16.30","13.10","10.00","8.30","6.70","5.00","3.30","1.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1994","SM","2200","1.30","2.60","3.90","5.20","6.60","7.90","9.20","11.40","13.70","15.90","18.10","20.40","22.60","24.80","27.00","29.30","31.50","33.70","36.00","38.20","40.00","41.80","43.50","45.30","47.10","48.90","50.70","52.40","51.50","50.50","49.60","48.70","47.80","46.80","42.10","37.30","32.60","27.90","23.20","18.40","13.70","9.00","7.50","6.00","4.50","3.00","1.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1995","SM","2200","0.40","0.90","1.30","1.80","2.20","3.00","3.90","4.70","5.50","6.40","7.20","8.00","8.80","9.70","10.50","11.30","12.20","13.00","15.60","18.20","20.90","23.50","26.10","28.70","31.30","34.00","36.60","42.10","47.50","53.00","58.50","64.00","69.40","60.60","51.90","43.10","34.30","25.60","16.80","8.00","6.90","5.70","4.60","3.40","2.30","1.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1996","SM","2200","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1997","SM","2200","1.60","2.40","3.20","3.90","4.70","5.50","6.30","7.10","7.80","8.60","9.40","10.20","11.00","11.80","13.50","15.20","16.80","18.50","20.20","21.90","23.60","25.20","26.90","28.60","30.30","32.00","33.60","35.30","37.00","43.00","49.10","55.10","61.10","67.20","73.20","62.70","52.30","41.80","31.40","20.90","10.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1998","SM","2200","1.80","3.60","5.80","8.00","10.10","12.30","14.50","16.70","18.90","21.00","23.20","25.40","27.60","29.80","32.00","33.40","34.80","36.10","37.50","38.90","40.30","41.70","43.00","43.60","44.10","44.70","45.30","45.90","46.40","47.00","43.60","40.20","36.80","33.40","30.00","26.60","23.20","19.60","16.00","12.40","8.80","5.20","1.60","1.30","1.10","0.80","0.50","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1999","SM","2200","2.40","4.90","7.30","9.80","12.20","12.90","13.70","14.40","15.20","15.90","16.60","17.40","18.10","18.90","19.60","20.30","21.10","21.80","26.40","30.90","35.50","40.00","44.60","49.20","53.70","58.30","62.80","57.40","52.10","46.70","41.30","36.00","30.60","25.20","23.60","22.00","20.40","18.80","17.20","15.60","13.50","11.40","9.30","7.20","5.20","3.10","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2000","SM","2200","0.40","0.80","1.30","1.70","2.10","2.50","2.90","3.40","3.80","4.20","4.60","5.00","6.10","7.20","8.30","9.40","10.50","11.60","12.70","13.80","14.90","16.00","17.10","18.20","22.50","26.90","31.20","35.60","40.00","44.20","48.60","48.20","47.80","47.30","46.90","46.50","46.10","45.70","45.20","44.80","38.20","31.70","25.10","18.50","12.00","5.40","4.50","3.60","2.70","1.80","0.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2001","SM","2200","0.50","1.00","1.60","2.10","2.60","3.10","3.60","4.20","4.70","5.20","7.10","9.00","10.90","12.80","14.80","16.70","18.60","22.30","26.00","29.70","33.40","37.20","40.90","44.60","45.40","46.20","47.00","47.80","48.60","49.40","50.20","46.80","43.50","40.10","36.70","33.40","30.00","25.00","20.00","15.00","10.00","5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2002","SM","2200","0.20","0.40","0.50","0.70","0.90","1.10","1.30","1.40","2.00","2.70","3.30","4.00","4.60","5.20","5.90","6.50","7.20","7.80","8.40","9.10","9.70","10.40","10.60","10.90","11.10","11.30","11.60","11.80","12.00","15.30","18.60","21.90","25.20","28.50","31.70","35.00","35.90","36.90","37.80","38.70","39.70","40.60","41.50","42.40","43.40","39.50","35.60","31.60","27.70","23.80","20.40","17.10","13.70","10.30","7.00","3.60","0.20","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2003","SM","2200","0.60","1.20","1.80","2.10","2.40","2.60","2.90","3.20","3.50","3.80","4.00","4.30","4.60","4.90","5.20","5.40","6.60","7.90","9.10","10.30","11.60","12.80","14.00","15.20","17.60","19.90","22.30","24.70","27.10","29.40","31.80","32.60","33.40","34.20","35.00","35.80","32.10","28.40","24.70","21.00","17.30","13.50","9.80","6.10","2.40","2.10","1.70","1.40","1.00","0.70","0.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2004","SM","2200","0.20","0.50","0.70","0.90","1.20","1.40","1.90","2.50","3.00","3.60","4.10","4.60","5.20","5.70","6.30","6.80","7.30","7.90","8.40","9.00","13.50","18.00","22.50","27.00","31.50","35.90","40.40","44.90","49.40","50.90","52.40","53.80","55.30","56.80","53.90","51.00","48.10","45.20","42.30","39.30","36.40","31.50","26.60","21.70","16.80","12.00","7.10","2.20","1.90","1.60","1.30","1.00","0.70","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2005","SM","2200","0.20","0.40","0.60","0.80","1.00","1.10","1.30","1.50","1.70","1.90","2.10","2.30","2.50","2.60","2.70","2.90","3.00","3.20","3.30","3.40","3.60","4.30","4.90","5.60","6.20","6.90","7.60","8.20","15.00","21.70","28.50","35.30","42.10","48.80","45.70","42.60","39.50","36.40","33.40","30.30","27.20","27.70","28.20","28.70","29.20","29.70","30.10","30.60","26.40","22.30","18.10","13.90","9.80","5.60","1.40","1.10","0.70","0.40","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2006","SM","2200","2.80","5.60","8.40","11.20","14.00","16.20","18.40","20.60","22.80","25.00","27.20","29.40","31.60","30.90","30.20","29.50","28.80","28.20","27.50","26.80","26.30","25.80","25.30","24.80","24.30","23.80","23.30","22.80","22.30","21.80","20.90","20.00","19.10","18.20","16.80","15.40","13.90","12.50","11.10","9.70","8.30","6.80","5.40","4.00","3.00","2.00","1.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2007","SM","2200","0.80","1.60","2.50","3.30","4.10","4.90","5.70","6.60","7.40","8.20","9.00","9.80","10.80","11.80","12.80","13.80","14.80","15.80","17.60","19.50","21.30","23.20","25.00","25.00","25.10","25.10","25.10","25.20","25.20","26.20","27.20","28.10","29.10","30.10","31.10","32.10","33.00","30.20","27.30","24.50","21.70","18.90","16.00","14.10","12.30","10.40","8.60","6.70","4.80","3.00","2.30","1.50","0.80","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2008","SM","2200","0.40","0.80","1.20","1.60","1.70","1.80","1.80","1.90","2.00","2.10","2.20","2.20","2.30","2.40","4.10","5.70","7.40","9.00","10.70","12.40","14.00","20.80","27.60","34.40","41.20","48.00","54.80","61.60","68.40","66.10","63.80","61.50","59.20","56.90","54.60","49.10","43.50","38.00","32.40","26.90","21.30","15.80","10.20","8.50","6.80","5.10","3.40","1.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2009","SM","2200","0.20","0.40","0.60","0.80","0.90","1.10","1.30","1.50","1.70","1.80","2.00","2.20","2.40","2.60","4.10","5.60","7.10","8.60","10.20","11.70","13.20","16.60","20.10","23.50","26.90","30.40","33.80","37.20","39.00","40.80","42.60","44.40","46.20","48.00","49.80","51.60","47.60","43.50","39.50","35.50","31.50","27.40","26.50","25.60","24.70","23.80","23.00","22.10","21.20","18.60","15.90","13.30","10.60","8.00","5.30","2.70","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2010","SM","2200","2.20","2.20","2.30","2.30","2.30","2.40","2.40","2.40","3.00","3.70","4.30","4.90","5.60","6.20","9.50","12.70","16.00","19.30","22.60","25.80","30.90","36.00","41.10","46.20","51.40","56.50","61.60","56.40","51.20","46.10","40.90","35.70","30.50","25.30","20.20","19.00","17.70","16.50","15.20","14.00","12.00","10.00","8.00","6.00","4.00","2.00","1.80","1.50","1.30","1.00","0.80","0.50","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2011","SM","2200","1.40","1.60","1.90","2.20","2.50","2.80","3.00","3.30","3.60","3.90","4.20","4.40","6.30","8.10","10.00","11.80","13.70","15.50","17.40","19.20","20.70","22.20","23.70","25.20","26.70","28.20","28.50","28.80","29.20","29.50","29.80","33.20","36.70","40.10","43.50","47.00","50.40","53.80","57.20","48.80","40.50","32.10","23.70","15.40","7.00","5.50","4.00","2.50","1.00","0.80","0.60","0.40","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2012","SM","2200","0.10","0.20","0.20","0.30","0.40","0.50","0.60","0.70","0.80","1.00","1.10","1.20","2.50","3.70","5.00","6.20","7.50","8.70","10.00","11.20","13.60","15.90","18.30","20.70","23.10","25.40","27.80","34.90","42.00","49.20","56.30","63.40","58.50","53.60","48.70","43.80","38.90","34.00","24.40","14.80","5.20","3.50","1.90","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2013","SM","2200","3.20","3.90","4.50","5.20","5.80","6.50","7.10","7.80","8.40","11.50","14.60","17.60","20.70","23.80","26.90","30.00","33.00","36.10","39.20","42.30","45.40","48.40","44.90","41.50","38.00","34.50","31.10","27.60","24.10","20.60","17.20","13.40","9.60","5.80","2.00","1.80","1.50","1.30","1.00","0.80","0.50","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1991","WA","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1992","WA","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1993","WA","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1994","WA","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1995","WA","1400","0.40","0.80","1.20","1.60","2.00","2.60","3.20","3.90","4.50","5.10","5.70","6.30","7.00","7.60","8.20","8.80","9.40","10.00","14.40","18.70","23.10","27.50","31.90","36.20","40.60","45.00","49.30","49.60","50.00","50.30","50.60","51.00","51.30","46.20","41.00","35.90","30.70","25.60","20.50","15.30","13.10","10.90","8.70","6.50","4.40","2.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1996","WA","1400","0.60","1.30","1.90","2.50","2.70","2.90","3.10","3.30","3.50","3.60","3.80","4.00","4.20","4.40","4.60","4.80","5.00","5.70","6.40","7.20","7.90","8.60","9.30","10.00","10.80","11.50","12.30","13.20","14.00","14.80","15.70","16.50","17.30","19.20","21.00","22.90","24.70","26.60","28.50","30.30","27.20","24.00","20.90","17.80","14.70","11.50","9.40","7.20","5.10","2.90","0.80","0.60","0.40","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1997","WA","1400","0.00","0.20","0.50","0.70","0.90","1.20","1.40","1.60","1.80","2.10","2.30","2.50","2.80","3.00","4.50","5.90","7.40","8.90","10.40","11.80","13.30","14.80","16.20","17.70","19.20","20.60","22.10","23.60","25.00","27.80","30.60","33.40","36.20","39.00","41.80","40.50","39.30","38.00","36.80","35.50","34.20","33.00","30.20","27.40","24.70","21.90","19.10","16.30","14.00","11.60","9.30","7.00","4.70","2.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1998","WA","1400","0.00","0.00","0.20","0.30","0.50","0.60","0.80","0.90","1.10","1.20","1.40","1.50","1.70","1.80","2.00","3.30","4.50","5.80","7.00","8.30","9.50","10.80","12.00","16.90","21.90","26.80","31.70","36.70","41.60","46.50","47.00","47.40","47.90","48.40","48.90","49.30","49.80","43.40","37.00","30.50","24.10","17.70","11.30","9.40","7.50","5.70","3.80","1.90","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1999","WA","1400","0.40","0.70","1.10","1.40","1.80","1.90","2.00","2.20","2.30","2.40","2.50","2.60","2.80","2.90","3.00","3.10","3.20","3.30","6.00","8.70","11.40","14.10","16.80","19.40","22.10","24.80","27.50","27.80","28.00","28.30","28.50","28.80","29.10","29.30","27.50","25.60","23.80","22.00","20.20","18.30","15.80","13.40","10.90","8.40","6.00","3.50","1.00","0.70","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2000","WA","1400","0.20","0.30","0.50","0.70","0.90","1.00","1.20","1.40","1.50","1.70","1.90","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","2.00","3.90","5.70","7.60","9.40","11.30","13.20","15.00","17.30","19.60","21.80","24.10","26.40","28.70","31.00","33.20","35.50","37.70","39.90","42.20","44.40","46.60","48.80","42.80","36.90","30.90","24.90","19.00","13.00","10.40","7.80","5.20","2.60","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2001","WA","1400","0.20","0.40","0.50","0.70","0.90","1.10","1.30","1.40","1.60","1.80","1.80","1.90","1.90","1.90","2.00","2.00","2.00","2.30","2.70","3.00","3.30","3.70","4.00","4.30","9.60","14.90","20.20","25.50","30.80","36.00","41.30","44.00","46.60","49.30","52.00","54.70","57.30","48.40","39.50","30.50","21.60","12.70","3.80","3.20","2.50","1.90","1.30","0.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2002","WA","1400","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.40","0.80","1.10","1.50","1.90","2.30","2.70","3.00","3.40","3.80","4.20","4.60","4.90","5.30","5.50","5.60","5.80","6.00","6.20","6.30","6.50","8.10","9.60","11.20","12.80","14.40","15.90","17.50","21.00","24.60","28.10","31.60","35.20","38.70","42.20","45.70","49.30","43.10","36.90","30.70","24.50","18.30","15.70","13.10","10.50","7.90","5.30","2.60","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2003","WA","1400","0.00","0.00","0.00","0.20","0.30","0.50","0.60","0.80","0.90","1.10","1.20","1.40","1.50","1.70","1.80","2.00","2.90","3.70","4.60","5.40","6.30","7.10","8.00","8.80","12.80","16.80","20.80","24.80","28.80","32.80","36.80","36.50","36.30","36.00","35.80","35.50","32.10","28.60","25.20","21.70","18.30","14.90","11.40","8.00","4.50","4.10","3.70","3.30","2.90","2.60","2.20","1.80","2.30","2.80","3.30","3.80","2.50","1.30","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2004","WA","1400","0.30","0.60","0.90","1.20","1.50","1.80","2.50","3.20","3.90","4.60","5.30","5.90","6.60","7.30","8.00","8.70","9.40","10.10","10.80","11.50","14.20","16.90","19.70","22.40","25.10","27.80","30.50","33.30","36.00","36.60","37.20","37.80","38.40","39.00","37.60","36.30","34.90","33.60","32.20","30.80","29.50","27.20","24.90","22.60","20.30","18.00","15.60","13.30","11.60","9.90","8.20","6.50","4.80","3.00","1.30","1.00","0.60","0.30","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2005","WA","1400","0.40","0.80","1.20","1.60","2.00","2.30","2.70","3.10","3.50","3.90","4.30","4.70","5.10","5.50","5.60","5.70","5.80","5.90","6.10","6.20","6.30","7.70","9.00","10.40","11.70","13.10","14.50","15.80","23.50","31.20","38.90","46.60","54.30","62.00","55.00","47.90","40.90","33.90","26.90","19.80","12.80","11.50","10.30","9.00","7.80","6.50","5.20","4.00","3.40","2.90","2.30","1.70","1.20","0.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2006","WA","1400","0.60","1.20","1.80","2.40","3.00","3.50","4.00","4.40","4.90","5.40","5.90","6.40","6.80","7.50","8.30","9.00","9.80","10.50","11.20","12.00","14.40","16.80","19.20","21.60","24.00","26.40","28.80","31.20","33.60","36.00","34.10","32.10","30.20","28.30","26.50","24.70","22.90","21.10","19.30","17.50","15.70","13.90","12.10","10.30","8.10","5.80","3.60","1.30","1.00","0.60","0.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2007","WA","1400","0.20","0.40","0.60","0.80","1.10","1.30","1.50","1.70","1.90","2.10","2.30","2.50","2.90","3.30","3.80","4.20","4.60","5.00","6.30","7.60","8.90","10.20","11.50","13.00","14.50","16.00","17.50","19.00","20.50","23.10","25.80","28.40","31.00","33.70","36.30","38.90","41.50","38.90","36.30","33.60","31.00","28.40","25.80","22.90","19.90","17.00","14.10","11.20","8.20","5.30","4.00","2.60","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2008","WA","1400","0.60","1.30","1.90","2.50","2.80","3.10","3.40","3.70","4.00","4.30","4.60","4.90","5.20","5.50","6.00","6.40","6.90","7.40","7.90","8.30","8.80","14.20","19.70","25.10","30.60","36.00","41.40","46.90","52.30","53.80","55.20","56.70","58.10","59.60","61.00","54.60","48.10","41.70","35.20","28.80","22.40","15.90","9.50","8.10","6.80","5.40","4.00","2.70","1.30","1.10","1.00","0.80","0.70","0.50","0.30","0.20","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2009","WA","1400","0.30","0.50","1.20","1.90","2.60","3.30","4.00","4.60","5.30","6.00","6.70","7.40","8.10","8.80","9.30","9.90","10.40","10.90","11.50","12.00","12.50","15.30","18.20","21.00","23.80","26.70","29.50","32.30","32.50","32.70","32.90","33.10","33.30","33.40","33.60","33.80","32.00","30.10","28.30","26.50","24.70","22.80","21.20","19.50","17.90","16.20","14.60","13.00","11.30","9.90","8.50","7.10","5.70","4.30","2.80","1.40","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2010","WA","1400","0.80","0.70","0.70","0.60","0.50","0.50","0.40","0.30","0.80","1.20","1.70","2.10","2.60","3.00","3.80","4.60","5.40","6.20","7.00","7.80","14.20","20.70","27.10","33.50","40.00","46.40","52.80","47.70","42.70","37.60","32.60","27.50","22.40","17.40","12.30","11.20","10.10","9.00","7.90","6.80","5.90","5.00","4.00","3.10","2.20","1.30","1.10","1.00","0.80","0.70","0.50","0.30","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2011","WA","1400","2.50","2.60","2.60","2.60","2.60","2.60","2.70","2.70","2.70","2.70","2.70","2.80","3.10","3.50","3.80","4.20","4.50","4.80","5.20","5.50","8.40","11.30","14.30","17.20","20.10","23.00","24.80","26.60","28.40","30.20","32.00","31.10","30.20","29.30","28.40","27.50","26.60","25.70","24.80","21.10","17.50","13.80","10.10","6.50","2.80","2.60","2.40","2.20","2.00","1.70","1.30","1.00","0.60","0.30","0.30","0.30","0.30","0.30","0.30","0.30","0.00","0.0","0.0","0.0","0.0"
"2012","WA","1400","0.10","0.10","0.20","0.20","0.30","0.50","0.70","0.90","1.10","1.40","1.60","1.80","2.40","2.90","3.50","4.00","4.60","5.20","5.70","6.30","8.80","11.20","13.70","16.10","18.60","21.10","23.50","28.00","32.40","36.90","41.30","45.80","43.80","41.70","39.70","37.60","35.60","33.50","24.60","15.70","6.80","5.00","3.30","1.50","1.30","1.10","0.90","0.70","0.50","0.20","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2013","WA","1400","0.00","0.00","0.10","0.10","0.20","0.20","0.20","0.30","0.30","2.00","3.60","5.30","6.90","8.60","10.20","11.90","13.50","15.20","16.80","18.50","20.10","21.80","22.20","22.70","23.10","23.60","24.00","24.40","24.90","25.30","25.80","19.80","13.80","7.80","1.80","1.40","1.00","0.70","0.30","0.20","0.10","0.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1991","WB","2600","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"1992","WB","2600","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
