"Year","Species","Elevation","day246","day247","day248","day249","day250","day251","day252","day253","day254","day255","day256","day257","day258","day259","day260","day261","day262","day263","day264","day265","day266","day267","day268","day269","day270","day271","day272","day273","day274","day275","day276","day277","day278","day279","day280","day281","day282","day283","day284","day285","day286","day287","day288","day289","day290","day291","day292","day293","day294","day295","day296","day297","day298","day299","day300","day301","day302","day303","day304","day305","day306","day307","day308","day309","day310"
"2002","RMS","1400","0.90","1.80","2.70","3.60","4.50","5.40","6.30","7.20","7.70","8.20","8.70","9.20","9.80","10.30","10.80","11.30","11.80","12.30","12.80","13.30","13.80","14.40","15.80","17.20","18.60","20.00","21.40","22.80","24.20","26.00","27.70","29.50","31.30","33.10","34.80","36.60","39.00","41.40","43.70","46.10","48.50","50.90","53.30","55.60","58.00","60.50","63.00","65.60","68.10","70.60","61.10","51.50","42.00","32.40","22.90","13.40","3.80","3.30","2.80","2.30","1.80","1.3","0.8","0.0","0.0"
"2003","RMS","1400","2.10","4.10","6.20","7.50","8.80","10.10","11.40","12.80","14.10","15.40","16.70","18.00","19.30","20.60","21.90","23.20","24.10","25.00","25.80","26.70","27.60","28.50","29.40","30.20","30.70","31.10","31.60","32.00","32.50","33.00","33.40","36.40","39.40","42.40","45.40","48.40","45.00","41.70","38.30","35.00","31.60","28.20","24.90","21.50","18.20","16.90","15.60","14.30","13.00","11.80","10.50","9.20","10.00","10.70","11.50","12.20","9.20","6.10","3.10","0.00","0.00","0.0","0.0","0.0","0.0"
"2004","RMS","1400","2.70","5.50","8.20","10.90","13.70","16.40","17.70","18.90","20.20","21.40","22.70","24.00","25.20","26.50","27.70","29.00","30.30","31.50","32.80","34.00","33.80","33.70","33.50","33.40","33.20","33.00","32.90","32.70","32.60","35.40","38.30","41.10","44.00","46.80","50.90","55.10","59.20","63.40","67.50","71.60","75.80","70.90","66.00","61.10","56.20","51.40","46.50","41.60","36.10","30.60","25.10","19.60","14.20","8.70","3.20","2.10","1.10","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2005","RMS","1400","1.00","1.90","2.90","3.80","4.80","5.80","6.70","7.70","8.60","9.60","10.60","11.50","12.50","13.40","14.00","14.50","15.10","15.70","16.30","16.80","17.40","18.90","20.50","22.00","23.60","25.10","26.60","28.20","29.60","31.00","32.40","33.80","35.20","36.60","36.30","36.00","35.70","35.40","35.20","34.90","34.60","40.10","45.60","57.10","56.60","62.10","67.50","73.00","65.40","57.70","50.10","42.50","34.90","27.20","19.60","16.80","13.90","11.10","8.20","5.40","2.50","0.0","0.0","0.0","0.0"
"2006","RMS","1400","3.40","6.80","10.20","13.60","17.00","18.80","20.60","22.30","24.10","25.90","27.70","29.50","31.20","31.90","32.70","33.40","34.20","34.90","35.60","36.40","36.70","36.90","37.20","37.40","37.70","38.00","38.20","38.50","38.70","39.00","42.30","45.60","48.90","52.20","47.50","42.80","38.00","33.30","28.60","23.90","19.20","14.40","9.70","5.00","3.80","2.50","1.30","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2007","RMS","1400","1.20","2.30","3.50","4.70","5.90","7.00","8.20","9.40","10.50","11.70","12.90","14.00","15.70","17.40","19.10","20.80","22.50","24.20","25.80","27.40","29.00","30.60","32.20","33.50","34.80","36.10","37.40","38.70","40.00","41.10","42.20","43.20","44.30","45.40","46.50","47.60","48.60","50.30","51.90","53.60","55.30","57.00","58.60","58.80","59.00","59.20","59.40","59.60","59.80","60.00","45.40","30.70","16.10","1.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2008","RMS","1400","2.30","4.60","6.90","9.20","9.50","9.80","10.10","10.40","10.70","11.00","11.30","11.60","11.90","12.20","13.50","14.70","16.00","17.20","18.50","19.80","21.00","22.40","23.80","25.20","26.60","28.00","29.40","30.80","32.20","33.80","35.50","37.10","38.70","40.40","42.00","45.80","49.50","53.30","57.00","60.80","64.50","68.30","72.00","62.90","53.80","44.70","35.60","26.50","17.40","15.20","13.00","10.90","8.70","6.50","4.30","2.10","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2009","RMS","1400","3.60","7.20","8.30","9.40","10.40","11.50","12.60","13.70","14.80","15.80","16.90","18.00","19.10","20.20","22.10","23.90","25.80","27.60","29.50","31.40","33.20","34.70","36.20","37.70","39.20","40.70","42.10","43.60","45.50","47.40","49.30","51.20","53.10","55.00","56.90","58.80","61.30","63.80","66.30","68.80","71.30","73.80","71.70","69.50","67.40","65.20","63.10","61.00","58.80","51.50","44.10","36.80","29.40","22.10","14.70","7.40","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2010","RMS","1400","20.00","20.70","21.50","22.20","23.00","23.70","24.40","25.20","26.20","27.20","28.20","29.20","30.20","31.20","33.20","35.20","37.20","39.20","41.20","43.20","44.30","45.30","46.40","47.40","48.50","49.60","50.60","50.40","50.10","49.90","49.70","49.50","49.20","49.00","48.80","49.70","50.60","51.40","52.30","53.20","46.70","40.20","33.70","27.20","20.70","14.20","12.40","10.60","8.90","7.10","5.30","3.50","1.70","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.0","0.0","0.0","0.0"
"2011","RMS","1400","5.40","6.10","6.70","7.30","7.90","8.50","9.20","9.80","10.40","11.00","11.60","12.20","14.20","16.20","18.20","20.20","22.20","24.20","26.20","28.20","30.00","31.90","33.70","35.50","37.40","39.20","40.00","40.70","41.50","42.20","43.00","45.70","48.40","51.10","53.80","56.50","59.20","61.90","64.60","62.30","60.10","57.80","55.50","53.30","51.00","45.80","40.60","35.40","30.20","25.80","21.30","16.90","12.40","8.00","6.70","5.30","4.00","2.70","1.40","0.00","0.00","0.0","0.0","0.0","0.0"
